foa-0001	permission final episode
1076059	measuring similarity unified relationship matrix paper use set heterogeneous_data objects web_pages queries hyperlinks user click-through sequences claim iterative can help data_sparseness_problem latent relationships heterogeneous_data objects can quality_of_information applications com information heterogeneous_sources support claim present unified algorithm computing can integrate relationships heterogeneous_sources measuring similarity data objects web_search_engine query_log web_page_collection demonstrate can similarity_measurement web_objects traditional content_based algorithms cutting edge algorithm
1076060	application text_categorization methods gene_ontology annotation paper application text_categorization methods practical problem biomedicine gene_ontology annotation go_annotation activity model organism database projects gene functions controlled_vocabulary first step automatic go_annotation domain codes gene article gene task challenges task consideration specialized_terminology attention forms gene synonyms target gene words gene gene for domain code_annotation classifier variant k-nearest_neighbor term_weighting_schemes performance making method systems evaluation framework task results system
1076062	eye_movements collaborative_filtering for proactive_information_retrieval study task proactive_information_retrieval combining implicit_relevance_feedback collaborative_filtering experimental_setting prototype application users find scientific browsing implicit_feedback eye_movement signals hidden_markov_models data explicit_relevance_feedback collaborative_filtering model probabilistic latent variable model markov_chain_monte_carlo techniques document prediction_accuracy eye_movements collaborative_filtering combination chance prediction_accuracy leaves for improvement proactive_information_retrieval combination relevance_feedback
1076063	clickthrough_data implicit_feedback paper reliability implicit_feedback clickthrough_data www_search users decision_process eyetracking implicit_feedback manual relevance_judgments clicks informative biased interpretation clicks absolute relevance judgments difficult relative preferences clicks accurate average
1076064	information_retrieval_system evaluation effort sensitivity reliability effectiveness information_retrieval_systems performance set queries documents significance_tests evaluate reliability comparisons work tests results application work alternative benchmark for significance test paper revisit question tests find t-test reliable sign wilcoxon_test far reliable large difference effectiveness_measures systems results past empirical work significance_tests error tests comparisons reliability precision rank mean_average_precision past comparisons effort compute measures investigation effort building test_collections topics detail
1076066	duplication world_wide_web study evolution web_pages time course study large number spam web_pages web_servers spam web_pages stitching sentences large_collection sentences discovery techniques for instances slice dice generation web pages pages stitching phrases corpus techniques data_sets set web_pages set web_pages number instances large-scale replication data_sets paper algorithms discover type replication highlights results data_mining
1076067	metadata personalize search open_directory_project collaborative efforts web_pages effort editors metadata topic importance for web_pages number the_web pages effort make difference paper metadata can quality personalized_web_search address criterion for web_page_ranking distance user_profile topics sets topics web_search enhancement results web search paper boundaries biasing subtopics order extend metadata web
1076068	hierarchical_structure for link_analysis link_analysis_algorithms web_information_retrieval link_analysis_algorithms work link_graph structure web_graph problems sparsity link_graph biased ranking pages paper ranking_algorithm solution problems hierarchical_structure link_structure the_web algorithm web_pages first hierarchical_structure directory domain link_analysis graph importance node graph distributed individual pages node hierarchical_structure algorithm importance web_pages distributed web_page space space sparse pages experimental_results collection hierarchical ranking_algorithm ranking_algorithms experimental_results link_aggregation link_aggregation domain directory levels
1076070	summarization clickthrough_data summarization methods web_page plain_text methods knowledge associated web_page building summary methods relationships knowledge building paper extract knowledge clickthrough_data web_search_engine summarization analyze feasibility clickthrough_data summarization summarization methods relationships clickthrough_data pages clickthrough_data design thematic_lexicon approach implicit_knowledge for methods dataset pages large dataset open_directory_project website experimental_results can summarizer use clickthrough_data
1076071	topic_themes for multi-document_summarization problem topic representations for multi-document_summarization attention paper topic representations representation topics topic_themes present methods evaluate methods large set topics past workshops evaluation results improvement quality summaries topic_themes methods use alternative topic representations
1076072	summaries help task-based_evaluation multi-document summaries user_performance online_news browsing systems for directed research multi-document summaries robust news_browsing system clusters online_news event groups same tasks reading news conditions summaries sentence summaries multi-document summaries human summaries results comparison source_documents quality reports summaries user_satisfaction human summaries
1076074	strategies for complex_queries research efficiency text_retrieval_systems methods inverted_lists sequence methods methods literature for optimizing document-at-a-time systems present improvement optimization efficient document-at-a-time scoring_method technique term bounded same documents evaluation for query_model research simulated technique explore problem_space large_scale language_modeling search_engine corpus queries method faster faster document-at-a-time baseline optimized query times competitive systems task
1076075	similarity_scoring term method for document_ranking simple document-centric view text fast evaluation_strategies connection vector_space_model method importance term document need for tuning parameters method fast_query processing computation small integers dynamic_pruning effective option wide range trec_data method retrieval_effectiveness okapi_bm25 formulation variants language_models
1076076	searchable natural_language adaptive compression address problem adaptive compression natural_language_text focusing case low_bandwidth receiver little processing power mobile_applications technique compression little effort receiver tradeoff alternative techniques symmetry receiver statistical adaptive compression technique can decompression receiver presence keywords document scenarios selective_dissemination_of_information news clipping alert systems text_categorization clustering asymmetry receiver can search text faster plain_text compression scenarios
1076077	self-tuning incremental query_expansion for top-k_query_processing present approach for efficient self-tuning query_expansion embedded top-k_query processor candidate_pruning query_expansion methods select expansion terms similarity query terms threshold query dimensionality problems need for expansion threshold potential topic aggressive expansion execution cost high-dimensional query method paper problems merging inverted_lists for potential expansion terms lists for query terms priority_queue for result pruning family top-k_algorithms probabilistic candidate can for pruning collections for tracks demonstrate efficiency effectiveness scalability approach
1076079	extraction bodies html_documents its application web_page_retrieval paper automatic_extraction bodies html_documents html_documents fields reality automatic_extraction bodies html_documents issue seem paper supervised_machine_learning approach address problem specification format information font_size position font weight features extraction method baseline method lines font_size improvement score application web_page_retrieval use data for evaluation method for html_documents retrieval experimental_results use fields use fields use helpful task page
1076080	informed latent_semantic_indexing latent_semantic_indexing unsupervised_approach for dimensionality_reduction information_retrieval output information category labels derive indexing inputs target values training_data_set importance applications labels document can categories paper multi-label informed latent_semantic_indexing algorithm information inputs correlations outputs latent semantics category_information can prediction_accuracy empirical_study data_sets results
1076081	text_classification kernels multinomial manifold support_vector_machines text_classification geometric_structure text_data standard kernels natural documents multinomial manifold simplex multinomial models riemannian_structure fisher_information metric geodesic_distance multinomial manifold positive can kernel kernel multinomial manifold effective for text_classification standard kernels ambient euclidean_space
1076082	multi-labelled_classification maximum_entropy_method classification problems classifiers single_document category multi-labelled_classification categories problems independent classification algorithms information relation categories paper explore correlations categories maximum_entropy_method derive classification_algorithm for documents experiments method combination label approach
1076084	information loss entropy gain for alternative estimates for term relevance information idf literature justification idf binary independent retrieval model result formal_framework relationship idf model framework explicit relevance information retrieval_function idf idf formulation model estimates alternative estimates estimates for term frequencies experimental idf idf for long_queries
1076085	linear_discriminant model for information_retrieval paper discriminative_model for information_retrieval linear_discriminant model flexible framework features models account variety linguistic_features component_models language_modeling approaches generative_models for present algorithms parameter_learning for optimize average_precision iterative_procedure algorithm number rank list effectiveness approach task ad_hoc_retrieval test_sets test_sets language_modeling approaches probabilistic_retrieval_model train measure likelihood ir_system linguistic_features phrases dependences effective for
1076086	word relationships language_models paper dependency language_modeling_approach for information_retrieval approach language_modeling_approach independence_assumption goal build language_model word relationships can integrated work integrate types relationship co-occurrence relationships integrated model collections results model respect models relationships results benefit word relationships language_models for
1076087	hyperlinks structural_re-ranking links language_models hubs_and_authorities algorithms for web_search structural_re-ranking approach ad_hoc_information_retrieval documents set asymmetric relationships generation links language_model document probability text care bias documents study number re-ranking criteria measures centrality graphs generation links centrality standard retrieval effective precision_at_top_ranks
1076089	overlap content-oriented xml_retrieval direct application standard ranking_techniques individual elements collection xml_documents result_set top large number elements small number relevant documents paper algorithm result_set redundant content benefits element_retrieval benefit components relevant documents test_collection for xml_retrieval forms basis for evaluation
1076090	functionality environments structured_overlay_networks study problem publish/subscribe functionality top structured_overlay_networks data models languages distributed_hash_table present experimental_evaluation proposals
1076091	extract information semi-structured text context_free_grammar work models extract information semi-structured text example conditional_random_field range author research papers phone_number address web_page framework priori knowledge features set labeled_training_data learn efficient extraction_process will problems can learning context_free_grammar training_data grammar advantages range global constraints can entity labels training_data set features can grammar_based approach results semantic_information form parse_tree for applications like question_answering problem personal contact address information unstructured documents task statistical parsing_approach results reduction error_rate system interactive system errors user correction can errors grammar tokens for records tokens for
1076093	acquisition katakana_variants paper method katakana_variants large_corpus words cause problems transliteration variations spelling can rewrite_rules for variants weight edit string variants number variants method paper weight edit web_data experiments weights advantages method need expertise linguistics weight collecting text_data weights edit operations recall precision task variant worth corpora newspaper
1076094	collective_classification email speech classification email_messages email request commitment sequential correlation email_messages same thread can classification algorithm collective_classification method local classifiers maximum_entropy_models words relational features bag-of-words baseline classifier can for classes performance_improvements collective_classification consistent email theory
1076095	term informativeness for named_entity_detection informal_communication e-mail bulletin_boards difficult learning_environment traditional lexical_information information for tasks named_entity_detection informative word can information informative words heavy-tailed distributions mixture_models informativeness fact informativeness score mixture_model likelihood informative words use task names bulletin_board posts way effectiveness find score effective effective inverse_document_frequency informativeness criteria find competitive score
1076097	music video_summarization analysis alignment paper approach for automatic music video_summarization analysis alignment music_video music video tracks music track chorus music_structure_analysis video track first segment face extract lyrics lyrics music_video summary alignment boundaries chorus shot class lyrics music_video experiments chorus_detection shot_classification lyrics detection music_videos user studies evaluate quality effectiveness summary comparisons summaries method manual method results summarization method meeting users expectations
1076098	phonotactic-semantic paradigm for automatic spoken_document_classification demonstrate phonotactic-semantic paradigm for spoken_document_categorization framework set acoustic_words lexical words acoustic activities spoken languages strategy for acoustic vocabulary_selection feature_selection methods acoustic vocabulary voice_tokenizer spoken document document acoustic_words spoken document can vector vector spoken document semantic_domain study phonotactic-semantic classifiers support_vector_machine_classifier latent_semantic_analysis classifier properties phonotactic-semantic framework paradigm spoken_document_classification its success spoken_language_identification task error_reduction benchmark performance language_recognition database
1076099	decision trees for word_recognition document_retrieval retrieval historical material problem approach retrieving handwritten_manuscripts word image_classification key step decision_trees features form basis accurate adaboost_classifier corpus word images pyramid stem problems skewed_distribution class frequencies word_classes training_samples augmented versions recognition performance standard corpus pages material collection recognition performance improvement performance results word_recognition retrieval language_model words retrieval_performance results results database results database pages collection
1076101	soft_pattern models for definitional_question_answering paper probabilistic pattern_matching soft_pattern matching methods soft_pattern matching ad_hoc computing degree match formal_matching models bigrams profile_hidden_markov_model models sound method model pattern_matching probabilistic process token sequences demonstrate effectiveness models definition sentence_retrieval for definitional_question_answering models patterns critical difference models technique handles language variations training_data converge models can pattern_matching can
1076102	resources for question_answering_evaluation laboratory_experiments reusable test_collections methodology information retrieval research order draw performance retrieval_methods test_collections reliability trustworthiness first studies for ad_hoc test_collections resources for question_answering_systems study quality answer patterns lists relevant documents automatic_question_answering evaluation for experimentation resources track participants fair reliable assessments systems evaluations solutions for addressing evaluation gap
1076103	question_answering passage_retrieval dependency_relations question_answering systems ranking answer passages methods passages as_relationships question terms studies address problem matching_dependency relations questions_and_answers matching equivalent relationships fuzzy relation_matching statistical_models present methods for learning relation_mapping past qa_pairs mutual_information expectation_maximization experimental_results method passage_retrieval methods mean rank relation_matching improvement system query_expansion
1076105	study relevance_propagation for web_search traditional information_retrieval content_and_structure critical success web_information_retrieval relevance_propagation techniques content information web_pages web_structure performance web_search paper first generic relevance_propagation framework comparison_study effectiveness efficiency representative propagation_models can generic_framework come for selecting propagation_model real-world search_applications propagation_models models sense effectiveness efficiency term_propagation integrated real-world search_engines its parallel offline implementation complexity study results paper
1076106	relevance_weighting for query independent evidence query independent feature document_content linkage usage can static relevance weight for use ranking challenge find function transform feature values relevance_scores paper simple density_analysis method for modelling shape transformation training_data independence feature baseline query independent feature questions for ranking sort transformation transformation apply sigmoid transformations combination baseline
1076107	locations search queries locations search queries potential impact search_relevance paper search_query dominant_location solution geographical_location associated query collective human_knowledge locations majority people answer query subjective collective attribute search queries queries geographical_location names queries key challenges detection false_positive suppression location_names queries mean geographical locations locations context query solution query atomic tokens its popular web_usage for false_positives find dominant_location step top search_results query_logs approaches paper discover implicit_query locations large-scale experiments queries query location detection solution consistent accuracy for query frequency
1076109	will information_retrieval user_study relationship quality information_retrieval_system effectiveness its users task task answer facets questions collection documents period sets ranked_lists levels quality blending output retrieval_system data annotators task ranked_lists guide labeling answer passages system accuracy time_on_task error_rate answers large intermediary region utility difference results threshold accuracy for task user utility experiments area threshold
1076110	relationships for workplace influences search_process date research aspects context influential for information_retrieval integration retrieval_systems research for examination aspects context task document genre relationship software_engineering work domain domain nature task impact decisions relevance usefulness document collection set genre data_set document_repository target population document surrogates purpose document_type correspondence_analysis categorical_data relationships genres tasks dimensions variability relationships results potential design contextual_retrieval system refining search_results for domain
1076111	search via automated_analysis interests activities study search_algorithms user interactions wide variety content personalize user search assumption people will intent searching techniques leverage implicit_information user interests information re-rank web_search_results relevance_feedback framework explore rich models_of_user interests information queries web_pages information user documents email user read research rich representations user corpus for personalization approximate representations efficient client-side algorithms for search personalization algorithms can search
1076112	user terms for query_expansion paper effectiveness technique for eliciting feedback users information problems technique can terms users for use ambiguous_queries users design feedback form additional_information users form users querying series experimental information form demonstrate form eliciting information users additional_information retrieval_performance results demonstrate relationship query_length performance
1076114	study dirichlet_priors for term_frequency_normalisation information_retrieval dirichlet_priors smoothing_technique language_modeling_approach paper apply dirichlet_priors term_frequency_normalisation probabilistic_model divergence_from_randomness model contributions paper experiments collections models dirichlet_priors normalisation robust effective performance approach automatic_parameter_tuning dirichlet_priors normalisation tuning approach retrieval_performance weighting models
1076115	markov_random_field_model for term dependencies paper general formal_framework for modeling term dependencies via markov_random_fields model for text_features evidence make use features terms phrases phrases explore independence sequential dependence dependence variants model approach train model mean_average_precision likelihood training_data ad_hoc_retrieval experiments web collections collection results modeling dependencies web collections
1076116	exploration approaches information_retrieval retrieval_models guarantee for optimal retrieval_performance difficult predict model empirical performance least way retrieval_models relevance documents queries granularity_level terms paper present axiomatic_approach retrieval_models direct_modeling relevance retrieval_constraints terms basic idea axiomatic_approach search space candidate retrieval functions for can set retrieval_constraints search_space retrieval_function retrieval_function component functions analysis retrieval functions inductive definition derive retrieval functions retrieval_framework results retrieval functions robust sensitive parameter_settings retrieval functions optimal_performance
1076117	gravitation-based_model for information_retrieval paper gravitation-based_model physical_model for information_retrieval theory_of_gravitation mapping model concepts information_retrieval documents queries relevance physics mass distance radius attractive force model perspective problems family effective term_weighting functions can formula model advantages basic physical laws formulas algorithms can explicit physical interpretation ranking formulas model intuitive heuristics potential settings approach for structured_document_retrieval model
1076119	coupling advertising boom the_web associated on-line_advertising search-based_advertising association ads web_page user_navigation becoming work study problem ads web_page advertising computer science perspective access text the_web page keywords text associated business information operating automatic fashion strategies for solving problem evaluate effectiveness methods matching strategy account semantics problem for ads keywords can yield gains average_precision figures strategy coupling strategy text the_web page reduce vocabulary advertisement can yield gains average_precision first results accuracy advertising can algorithms
1076120	web_search_results affinity_graph paper ranking_scheme affinity_ranking re-rank search_results optimizing metrics diversity variance topics group documents information_richness measures coverage single_document its topic metrics directed link_graph affinity_graph models structure group documents asymmetric content documents experimental_results data demonstrate ranking_algorithm search_performance algorithm improvement diversity improvement information_richness top search_results
1076121	estimate query_difficulty applications content detection distributed_information_retrieval article present learning_methods for estimating quality results search_engine response query agreement top results query top results its demonstrate usefulness quality estimation for applications improvement retrieval queries for relevant content document_collection distributed_information_retrieval trec_data demonstrate robustness effectiveness learning_algorithms
1076123	translation_disambiguation for cross-language_information_retrieval distribution translation_probabilities factors effectiveness cross-language_information_retrieval system paper present approach translation_probabilities for query bilingual_dictionary monolingual_corpus target_language algorithm term association measures iterative machine_learning_approach expectation_maximization approach translation_candidates sensitive issues approaches n-grams translation_probabilities query_term weights integrated retrieval_system for cross-lingual_retrieval baseline dictionary_lookup term_weighting
1076124	dictionaries for cross-language_information_retrieval bottleneck for cross-language_information_retrieval dictionaries for languages methodology multilingual dictionaries for simple seed seed mapping semantic hypotheses making use co-occurrence patterns translation synonyms parallel_corpora evaluate dictionaries large medical document collection cross-language_retrieval
1076125	maximum_coherence_model for cross-language_information_retrieval key cross-language_information_retrieval resolve translation_ambiguity queries length problem bilingual_dictionaries focus paper research cross-language_information_retrieval bilingual_dictionaries word_co-occurrence statistics translations queries paper statistical_model maximum_coherence_model estimates translation_probabilities query words consistent word_co-occurrence statistics work binary_decision for selection translations model uncertainty query words sense_ambiguity difficult resolve model estimate translations query words contrast approaches translations individual query words empirical_studies datasets maximum_coherence_model relative improvement cross-language_information_retrieval approaches use word_co-occurrence statistics for sense_disambiguation
1076127	hidden_markov_models for automatic_annotation content-based_retrieval images video paper method for automatic_annotation_of_images keywords generic_vocabulary concepts objects for purpose content-based_image_retrieval image sequence low-level visual features color texture hidden_markov_model states concepts parameters model set training images image large test collection posteriori_probability concepts present annotation content-based_search via keywords aspects model parameterization parameter_estimation image_annotation retrieval results techniques same datasets
1076128	ontologies for automatic_image_annotation automatic_image_annotation task words image content image machine_learning_approaches model association words images set images annotations for test image paper methods use hierarchy annotation words text ontology automatic_image_annotation retrieval hierarchy context visual_vocabulary for representing images framework for hierarchical_classification approach for automatic_image_annotation effect hierarchy visual_vocabulary annotation performance translation_models performance_improvements hierarchical_classification approaches yield multimedia_ontologies
1076129	database view semantic_image_annotation retrieval model for semantic_annotation retrieval image_databases model probabilistic_formulation annotation retrieval classification problems solutions optimal minimum probability error sense database one-to-one_mapping semantic_classes groups database images share associated semantic labels work database probabilistic_model optimal annotation retrieval can algorithms simple efficient semantic_segmentation training_images its simplicity annotation retrieval architecture parameter_tuning property role feature_selection design optimal annotation retrieval_systems demonstrate benefits one-to-one_mapping keywords states semantic classification_problem complex popular joint_modeling keyword visual_feature distributions database probabilistic_retrieval_model semantic labeling retrieval_methods accuracy results cost
1076131	questions for effective relation_extraction present analysis structured relationships set queries search_engine for popular online document_collection study small number binary relationships account for queries sample approach query_logs relationships relevant user_needs fact tables collection for factoid_question_answering analysis approach can coverage user questions
1076132	testbed for people searching strategies paper creation testbed evaluate people searching strategies task person_names ambiguity locating relevant_information individual same name
1076133	metasearch simple method for converting standard measures retrieval_performance metasearch algorithms focus analysis retrieval measures development metasearch algorithms conversion_method experimental_results trec_data measures retrieval_performance average_precision yield metasearch algorithms performance equals benchmark techniques
1076134	geometric interpretation r-precision its correlation average_precision measures retrieval_performance average_precision average_precision robust measures_of_performance reasons for paper geometric argument set assumptions average_precision approximate area precision-recall_curve explaining correlation demonstrate use trec_data similarity difference average_precision adherence violation assumptions
1076135	hyperspace_analogue_to_language framework for information_retrieval cognitive_model conceptual_spaces conceptual_space hyperspace_analogue_to_language higher_order concepts for ad-hoc_retrieval poster alternative implementation conceptual_space probabilistic space evaluate converting implementation investigation concept combination for task query_expansion experiments method query_term selection_methods can performance
1076136	issues processing web_queries paper study basic key issues web_query processing load_balance broker behavior performance individual index servers study tradeoffs load unbalance query can simple measure distribution documents index servers broker bottleneck disk utilization cpu_utilization
1076137	an_interface search human movements geographic metadata can events geographic activity individuals tools help users study activities can process learning discovery paper present an_interface address problem components map timeline text_representation movements components query input users can needs dynamic results display users can see effect decisions results pilot_study users interface
1076138	web query_classification training data topical_categorization user queries for effectiveness efficiency revenue potential web_search systems categorization critical system results general web collection databases categorization recall difficult web_queries features per query approaches topical_categorization general web_queries matching list queries supervised_learning classifiers mining selectional_preference rules large query_logs approach its advantages the_web query_classification recall problem combining three_techniques queries individual techniques performance approach real web_query stream method queries recall approach improvement effectiveness
1076139	scoring for metasearch precision method for precision metasearch results scoring visual_features documents surrogate representations surrogate fusion place search_engines visual_features typical search result surrogate information snippet rank approach use search collection statistics traditional fusion strategies restriction use metasearch practice knowledge search_engines strategies can evaluate approach test_collection binary relevance_judgments for top results web_search_engines queries visual fusion approach fusion_algorithm confidence individual web_search_engine confidence
1076140	e-mail abstract
1076141	simple case document identifiers pattern sequencing problem poster analyze work document identifiers problem present formalization simple case problem future work opens research line general problem
1076142	algorithms like testing students paper apply methods educational testing measure reliability collection
1076143	impact selection noise web search meta-search_engine technique collaborative_web_search leverage past search_behaviour queries selections a_community users order promote search_results relevant community paper studies benefits approach situations behaviour users can terms ability select relevant results search_sessions
1076144	f-measures tractable exact_computation empirical_observations its properties derive tractable exact_computation for expectation measures demonstrate expectation errors approximating expectation settings
1076145	students think work nature people for search_engines work data undergraduate graduate_students draw sketch search_engines work reference_model sketch for completeness paper results implications for educational_assessment curriculum_design hand information system_design
1076146	evaluation adaptive topic_tracking systems summative_evaluation methods for adaptive topic_tracking systems effect system decisions present utility effect future utility paper formative_evaluation approach future utility for use design stage adaptive_systems topic_model quality set points document_set comparability topic_tracking system utility approach formative_evaluation
1076147	subset retrieval large_collections indices poster alternative inverted_index structures reduce time process queries query throughput quality results end_user results dataset indices terms effectiveness efficiency
1076148	implications non-negative_matrix_factorization probabilistic_latent_semantic_analysis number text_analysis tasks document_clustering methods instances multinomial explore relationship first problem kl_divergence explore implications relationship
1076149	impact evaluation multilingual_text_retrieval summarize impact first activity multilingual_text_retrieval evaluation campaigns
1076150	for natural_language document_retrieval automatic query reformulation approach corporate applications data database_systems structured_information can text_documents can traditional text document_retrieval query_operators for inside text fields effect operators for queries natural_language queries article retrieval performances automatic natural_language queries
1076151	information_access domain task knowledge system paper present system user explore document_collection system domain task knowledge form ontologies direct_access information information system
1076152	semantic_indexing techniques cross-language fingerprinting search on-line document looking for content words researchers search_techniques meaning documents text examples techniques latent_semantic_analysis techniques semantic dependencies languages electronic versions kinds material popular cosmology data_base technical_specifications analogy fingerprinting forensics individuals fingerprinting enzymes split band patterns research use queries split document fragments search_technique isolates fragments query document its translation band patterns paper present fingerprinting technique material report results evaluation for semantic_indexing techniques
1076153	visual_relevance feedback for query_formulation browsing the_internet seem performance search_engines optimistic explanation quality search_engines pessimistic people adapt new_technology explanation people ignorance recall relevant documents can result can user quality search_results algorithm visual_representation document space neighborhood user paper algorithm users can explore neighborhood query users can need query retrieval results
1076154	index model for contextual_information_retrieval paper index model for contextual_ir query search document passage indexes use merge function update weights for documents paragraphs combining results indexes granularity information metadata trec_data improvement can index model
1076155	query_difficulty web learning_visual method for predicting query_difficulty web_search_task approach visual_features surrogate document representations snippets predict retrieval_effectiveness for query training supervised_machine_learning algorithm queries visual relevance approach correlation precision_at_10 manual relevance_judgments top documents web_search_engines queries difficulty predictors ad-hoc search clarity metrics engine_performance tasks maximum correlation visual need for collection statistics approaches approach environments statistics metasearch
1076156	questions answers large number question_and_answer can question_and_answer boards pages paper automatic_method questions same meaning method can questions little word overlap answers questions similarity_measures traditional similarity_measures experimental_results questions can similarity_measures
1076157	cross_lingual_information_retrieval on-line_translation systems cross_language_retrieval linguistic_resources bilingual_dictionaries parallel_corpus study focus retrieval problem online translation systems approaches approach queries language documents traditional information_retrieval_techniques model-based_approach first statistical translation_model translations online translation system statistical model cross_lingual_information_retrieval empirical_study model-based_approach approach
1076158	photo search information_browsing photo search_method three-dimensional viewpoints queries viewpoint-based_image_retrieval for searching collections photographs images same object method enable users images same object view browse groups images viewpoint query_by_example users problem queries combination users way photographs information
1076159	enhancement graphical_search_interface usability_testing interactive_retrieval functionality concentric_ring_view series usability_studies ring graphical_user_interface like for image_retrieval metadata values for facet ring images inside search keys attribute values bottom users can browse images search keys first usability_test participants novice_users school students use interface users find images interface first relevant image users refine retrieval reuse results problem personal_history for reuse relevance_feedback version interface concentric_ring_view usability_test participants effectiveness interface
1076160	latent_models settings aspect_model latent_dirichlet_allocation latent generative_models objective modeling discrete data text knowledge search community aspect_model settings latent_models optimal parameters paper make claim latent_models small synthetic corpus latent_models limitations recovering parameters data generative distribution fact experiments supervised_classification aspect_model its performance poor naive_bayes synthetic analyze scenario analysis scope for improvement latent_dirichlet_allocation use insight models come variant drawbacks performance model_fit scenario
1076161	its application opinion_summarization abstract
1076162	query_term_order for result summarisation report experiments test importance term_order automatic_summarisation systems summarisation approach system document term_order use term_order rouge_evaluation use human evaluations search_engine_results query_term_order summaries simulation google_search_engine result summaries terms summary_quality system summaries users relevance_judgements
1076163	event_tracking research focus tracking topics event key elements target event date location for making decision test story event_tracking method build event profile stories robust information_retrieval technologies feature_selection metric event key semantic elements target event experiments mandarin corpus event_tracking method
1076164	recursive feature_elimination methods abstract
1076165	term independence_assumption blind_relevance_feedback blind_relevance_feedback for ad_hoc document_retrieval priori set query terms will retrieval_performance complex problem making independent decisions performance effects query_term experiments for selection terms for blind_relevance_feedback term independence_assumption
1076166	effect topic set_size retrieval error abstract
1076167	information_sharing links viewpoint_retrieval paper present concept social_relationships document_content community-centred communication environments capabilities generic retrieval documents ability people interests focus social_awareness large help users community relationships framework viewpoint_retrieval enable user construct view community topic interests proof_of_concept present first prototype collection examples results
1076168	multimedia salient concepts for incremental information_extraction algorithm for information mining feature_space clusters salient concepts techniques for concepts multimedia data complex concepts statistical_model incremental information_extraction approach levels_of_abstraction handle concepts present results research incremental_approach extraction salient concepts multimedia_information
1076169	words for cross-language_information_retrieval need character_n-grams language can character_n-grams language demonstrate translations retrieval results translation
1076170	cross-language_text_classification abstract
1076171	adaptive content-based relevance_ranking algorithm information_retrieval relevance_ranking results tasks ranking_algorithms content documents properties link_structure html present adaptive content-based relevance_ranking algorithm account temporal_behavior documents form statistical topic_model state algorithm can top ranking_algorithm
1076172	automated_evaluation search_engine_performance via implicit_user_feedback information_retrieval effectiveness web_search_engines can human_relevance_judgments evaluate search_results implicit_user_feedback for search_engine_evaluation cost time effective addressing problem web_search_engines can use human_evaluation search_results human evaluators approach availability data system_performance user relevance judgments actions print save bookmark actions document identifiers central server via client application use implicit_feedback performance_metrics precision can system_performance metric collection weighted metrics
1076173	dependency_relation_matching for answer_selection abstract
1076174	refine centroid text classifiers present algorithm for automatic_text_classification training_data_set algorithm first prototype vectors centroids for document classes examples centroids dragging centroid class example same time pushing centroid class example algorithm simple efficient experiments benchmark collections its classification_accuracy complex methods support_vector_machines
1076175	hierarchical_topic_detection exploring sample_based approach hierarchical_topic_detection task evaluation program organize unstructured news collection directed_acyclic_graph structure topics present scalable_architecture for alternative for agglomerative_clustering optimization order cost metric
1076176	noun_sense_induction web_search_results paper algorithm for unsupervised noun_sense_induction clustering web_search_results algorithm training instances external_knowledge_source results small dataset technique advantages techniques literature real-world senses dictionaries lexical_resources number word_senses
1076177	distributed_collaborative_filtering decentralized collaborative_filtering_approach self-organizing distributed way downloading files tables time use language_model build recommendations for users tables user distributed_collaborative_filtering approach centralized collaborative_filtering performance technique recommendations peer-to-peer_networks
